cluster_id,caseName,us_cite,volume,scdb_id,dateFiled,bucket,reason
6726435,Wells v. U. States,11 U.S. 22,11,,1812-02-20,KEEP,vol>=5 (Cranch/Wheaton)
6726442,Whelan v. United States,11 U.S. 112,11,,1812-02-20,KEEP,vol>=5 (Cranch/Wheaton)
84970,Schooner Paulina's Cargo v. United States,11 U.S. 52,11,1812-010,1812-02-21,KEEP,has scdb_id
84967,"Maryland Insurance Company v. Le Roy, Bayard & M'evers",11 U.S. 26,11,1812-009,1812-02-22,KEEP,has scdb_id
84977,United States v. Crosby,11 U.S. 115,11,1812-011,1812-02-24,KEEP,has scdb_id
84999,United States v. Tyler,11 U.S. 285,11,1812-012,1812-02-25,KEEP,has scdb_id
84972,Sloop Active v. United States,11 U.S. 100,11,1812-013,1812-02-26,KEEP,has scdb_id
6726453,Davy's Executors v. Faw,11 U.S. 171,11,,1812-03-03,KEEP,vol>=5 (Cranch/Wheaton)
6726452,King v. Riddle,11 U.S. 168,11,,1812-03-04,KEEP,vol>=5 (Cranch/Wheaton)
6726443,United States v. Brig Eliza,11 U.S. 113,11,,1812-03-05,KEEP,vol>=5 (Cranch/Wheaton)
6726446,Welch v. Mandeville,11 U.S. 152,11,,1812-03-05,KEEP,vol>=5 (Cranch/Wheaton)
84974,United States v. Goodwin,11 U.S. 108,11,1812-022,1812-03-10,KEEP,has scdb_id
84979,"Freeland v. Heron, Lenox & Co.",11 U.S. 147,11,1812-023,1812-03-10,KEEP,has scdb_id
84988,Wilson v. Koontz,11 U.S. 202,11,1812-024,1812-03-10,KEEP,has scdb_id
84989,Riddle v. Moss,11 U.S. 206,11,1812-025,1812-03-10,KEEP,has scdb_id
84993,Wood v. Davis,11 U.S. 271,11,1812-026,1812-03-10,KEEP,has scdb_id
6726457,Wilson v. Koontz,11 U.S. 202,11,,1812-03-10,KEEP,vol>=5 (Cranch/Wheaton)
84971,Russell v. Clark's Executors,11 U.S. 69,11,1812-027,1812-03-12,KEEP,has scdb_id
84981,Marsteller and Others v. McClean,11 U.S. 156,11,1812-028,1812-03-13,KEEP,has scdb_id
84994,Morgan v. Reintzel,11 U.S. 273,11,1812-029,1812-03-13,KEEP,has scdb_id
84996,Wallen v. Williams,11 U.S. 278,11,1812-031,1812-03-13,KEEP,has scdb_id
84998,Beatty v. The State of Maryland,11 U.S. 281,11,1812-032,1812-03-13,KEEP,has scdb_id
2490480,Well v. Jackson,11 U.S. 276,11,1812-030,1812-03-13,KEEP,has scdb_id
6726471,Wallen v. Williams,11 U.S. 278,11,,1812-03-13,KEEP,vol>=5 (Cranch/Wheaton)
6726475,Beatty v. Maryland,11 U.S. 281,11,,1812-03-13,KEEP,vol>=5 (Cranch/Wheaton)
84968,The United States v. Hudson and Goodwin,11 U.S. 32,11,1812-033,1812-03-14,KEEP,has scdb_id
84987,Barton v. Petit and Bayard,11 U.S. 194,11,1812-034,1812-03-14,KEEP,has scdb_id
84990,Sheehy v. Mandeville,11 U.S. 208,11,1812-035,1812-03-14,KEEP,has scdb_id
84991,Conway's Executors & Devisees v. Alexander,11 U.S. 218,11,1812-036,1812-03-14,KEEP,has scdb_id
84992,Dunlop v. Munroe,11 U.S. 242,11,1812-037,1812-03-14,KEEP,has scdb_id
84995,Blackwell v. Patten and Others,11 U.S. 277,11,1812-039,1812-03-14,KEEP,has scdb_id
84997,M'kim v. Voorhies,11 U.S. 279,11,1812-040,1812-03-14,KEEP,has scdb_id
2490089,Wise & Lynn v. the Columbian Turnpike Company,11 U.S. 276,11,1812-038,1812-03-14,KEEP,has scdb_id
6726456,Barton v. Petit,11 U.S. 194,11,,1812-03-14,KEEP,vol>=5 (Cranch/Wheaton)
6726460,Sheehy v. Mandeville,11 U.S. 208,11,,1812-03-14,KEEP,vol>=5 (Cranch/Wheaton)
6726463,Dunlop v. Munroe,11 U.S. 242,11,,1812-03-14,KEEP,vol>=5 (Cranch/Wheaton)
6726470,Blackwell v. Patten,11 U.S. 277,11,,1812-03-14,KEEP,vol>=5 (Cranch/Wheaton)
6726473,M'Kim v. Voorhies,11 U.S. 279,11,,1812-03-14,KEEP,vol>=5 (Cranch/Wheaton)
84976,The United States v. The Brig Eliza,11 U.S. 113,11,1812-017,1812-03-18,KEEP,has scdb_id
84978,Schooner Exchange v. McFaddon,11 U.S. 116,11,1812-014,1812-03-18,KEEP,has scdb_id
84980,Welch v. Mandeville,11 U.S. 152,11,1812-018,1812-03-18,KEEP,has scdb_id
84982,Welch v. Lindo,11 U.S. 159,11,1812-020,1812-03-18,KEEP,has scdb_id
84983,New Jersey v. Wilson,11 U.S. 164,11,1812-015,1812-03-18,KEEP,has scdb_id
84984,King v. Riddle,11 U.S. 168,11,1812-016,1812-03-18,KEEP,has scdb_id
84985,Davy's Executors v. Faw,11 U.S. 171,11,1812-021,1812-03-18,KEEP,has scdb_id
84986,Hughes v. Moore,11 U.S. 176,11,1812-019,1812-03-18,KEEP,has scdb_id
85003,The BANK OF COLUMBIA v. PATTERSON’S Adm’r,11 U.S. 299,11,1813-003,1813-02-05,KEEP,has scdb_id
85000,The United States v. Gordon and Others,11 U.S. 287,11,1813-001,1813-02-10,KEEP,has scdb_id
6726477,United States v. Gordon,11 U.S. 287,11,,1813-02-10,KEEP,vol>=5 (Cranch/Wheaton)
85002,Queen v. Hepburn,11 U.S. 290,11,1813-002,1813-02-12,KEEP,has scdb_id
85004,Clark's Executors v. Carrington,11 U.S. 308,11,1813-004,1813-02-13,KEEP,has scdb_id
